datetime,actual_kw,predicted_kw
2010-11-25 21:15:00,1.3104,1.0823442
2010-11-25 21:30:00,1.3174667,1.0124913
2010-11-25 21:45:00,1.2810667,0.9744717
2010-11-25 22:00:00,1.2472,0.85431516
2010-11-25 22:15:00,1.1254667,0.77579474
2010-11-25 22:30:00,0.576,0.66086656
2010-11-25 22:45:00,0.23026666,0.5964557
2010-11-25 23:00:00,0.26066667,0.5067294
2010-11-25 23:15:00,0.23133333,0.48393598
2010-11-25 23:30:00,0.18306665,0.4388093
2010-11-25 23:45:00,0.18919998,0.4604785
2010-11-26 00:00:00,0.19199994,0.3284189
2010-11-26 00:15:00,0.22466666,0.33523107
2010-11-26 00:30:00,0.37253332,0.31205523
2010-11-26 00:45:00,0.4332,0.32232836
2010-11-26 01:00:00,0.364,0.31978709
2010-11-26 01:15:00,0.29279998,0.31422588
2010-11-26 01:30:00,0.23013332,0.30539545
2010-11-26 01:45:00,0.15,0.28244662
2010-11-26 02:00:00,0.218,0.28724313
2010-11-26 02:15:00,0.16026667,0.2881716
2010-11-26 02:30:00,0.21999998,0.26690277
2010-11-26 02:45:00,0.16173334,0.28151515
2010-11-26 03:00:00,0.19933334,0.28547564
2010-11-26 03:15:00,0.25893334,0.28088593
2010-11-26 03:30:00,0.152,0.26429975
2010-11-26 03:45:00,0.24733332,0.26886046
2010-11-26 04:00:00,0.17426665,0.27961355
2010-11-26 04:15:00,0.19359998,0.2622907
2010-11-26 04:30:00,0.16853333,0.28409496
2010-11-26 04:45:00,0.20573333,0.28683287
2010-11-26 05:00:00,0.18773334,0.28754938
2010-11-26 05:15:00,0.12333333,0.30884594
2010-11-26 05:30:00,0.2836,0.29825407
2010-11-26 05:45:00,0.12146667,0.289071
2010-11-26 06:00:00,0.18853334,0.3332292
2010-11-26 06:15:00,0.22426668,0.33877993
2010-11-26 06:30:00,0.9669333,0.38700435
2010-11-26 06:45:00,0.27733332,0.5052362
2010-11-26 07:00:00,0.23053332,0.54294604
2010-11-26 07:15:00,0.43213332,0.50600934
2010-11-26 07:30:00,0.2782666,0.50964975
2010-11-26 07:45:00,0.26866665,0.57636034
2010-11-26 08:00:00,0.29759997,0.54467005
2010-11-26 08:15:00,0.426,0.43480563
2010-11-26 08:30:00,0.59386665,0.46017852
2010-11-26 08:45:00,0.43626663,0.43456903
2010-11-26 09:00:00,0.56,0.39576232
2010-11-26 09:15:00,0.85319996,0.39019206
2010-11-26 09:30:00,0.70519996,0.41783652
2010-11-26 09:45:00,0.52853334,0.37482446
2010-11-26 10:00:00,0.38986665,0.38147983
2010-11-26 10:15:00,0.46799996,0.38587534
2010-11-26 10:30:00,0.34866667,0.41177174
2010-11-26 10:45:00,0.43186665,0.36664042
2010-11-26 11:00:00,0.40586662,0.36544645
2010-11-26 11:15:00,0.36413333,0.38695756
2010-11-26 11:30:00,0.7066667,0.3731836
2010-11-26 11:45:00,0.57226664,0.4042983
2010-11-26 12:00:00,0.72360003,0.42688474
2010-11-26 12:15:00,0.8501333,0.38726154
2010-11-26 12:30:00,0.5904,0.4057296
2010-11-26 12:45:00,0.6594667,0.43354034
2010-11-26 13:00:00,0.5970667,0.42130935
2010-11-26 13:15:00,0.6545333,0.4183996
2010-11-26 13:30:00,0.65999997,0.39971668
2010-11-26 13:45:00,0.9477333,0.38854218
2010-11-26 14:00:00,0.98506665,0.45484096
2010-11-26 14:15:00,0.36786664,0.36436027
2010-11-26 14:30:00,0.17626664,0.3428086
2010-11-26 14:45:00,0.22373329,0.3467444
2010-11-26 15:00:00,0.18986663,0.3317848
2010-11-26 15:15:00,0.21493332,0.31936756
2010-11-26 15:30:00,0.37093326,0.33489776
2010-11-26 15:45:00,0.60226667,0.4171797
2010-11-26 16:00:00,0.29653326,0.3601263
2010-11-26 16:15:00,0.2717333,0.3516576
2010-11-26 16:30:00,0.3396,0.4151441
2010-11-26 16:45:00,0.25666666,0.37426388
2010-11-26 17:00:00,0.192,0.39581895
2010-11-26 17:15:00,0.2777333,0.41414192
2010-11-26 17:30:00,0.1689333,0.429748
2010-11-26 17:45:00,0.21999998,0.44421107
2010-11-26 18:00:00,0.15799999,0.45812562
2010-11-26 18:15:00,0.6208,0.45514202
2010-11-26 18:30:00,0.60573334,0.47441652
2010-11-26 18:45:00,0.5449333,0.49924335
2010-11-26 19:00:00,0.6788,0.59982926
2010-11-26 19:15:00,0.89813334,0.5812588
2010-11-26 19:30:00,0.6602667,0.74698824
2010-11-26 19:45:00,0.30453333,0.6576654
2010-11-26 20:00:00,0.31746668,0.82898563
2010-11-26 20:15:00,0.5254667,0.8200813
2010-11-26 20:30:00,0.51199996,0.7994037
2010-11-26 20:45:00,0.5721333,0.86389977
2010-11-26 21:00:00,0.5046667,0.8303707
